Material1,Material2,Coefficient
ACETAL,ACETAL,0.2
Acetal,Acetal,0.2
Acetal,ACETAL,0.2
ACETAL,Aluminium,0.27
Acetal,Black PU,0.3
ACETAL,Black PU,0.3
Acetal,Bread,0.25
ACETAL,Bread,0.25
ACETAL,Corrugated,0.18
Acetal,Corrugated,0.18
ACETAL,DZ_ff,0.08
Acetal,DZ_ff,0.08
ACETAL,"ff 0.02",0.02
Acetal,"ff 0.02",0.02
ACETAL,"ff 0.05",0.05
ACETAL,"ff 0.1",0.1
Acetal,"ff 0.1",0.1
ACETAL,"ff 0.2",0.2
ACETAL,"ff 0.3",0.3
Acetal,"ff 0.3",0.3
ACETAL,"ff 0.4",0.4
Acetal,"ff 0.4",0.4
ACETAL,"ff 0.5",0.5
Acetal,"ff 0.5",0.5
ACETAL,"ff 0.6",0.6
Acetal,"ff 0.6",0.6
ACETAL,Frictionless,0
ACETAL,Glass,0.14
Acetal,Glass,0.14
Acetal,Glue,1.5
ACETAL,HIGH STRENGTH EC ACETAL,0.2
ACETAL,PE Plastic,0.16
Acetal,PE Plastic,0.16
ACETAL,Rubber,0.6
Acetal,Rubber,0.6
Acetal,"Rubber 0.1",0.1
ACETAL,"Rubber 0.1",0.1
Acetal,"Rubber 0.3",0.3
ACETAL,"Rubber 0.3",0.3
ACETAL,S7000_DZ_ff,0.08
Acetal,S7000_DZ_ff,0.08
ACETAL,Steel,0.14
Acetal,Steel,0.14
ACETAL,UHMW,0.16
Air,"0.35",0
Air,Air,1
Air,"ff 0.1",0.1
Air,"ff1.0",1
Air,Free Roller,0
Air,Frictionless,0
Air,Plastic,0
Air,Rubber,0
Air,Steel,0
Air,Z,1
Aluminium,Acetal,0.27
Aluminium,ACETAL RUN,0
Aluminium,Aluminium,0.1
Aluminium,Concrete,0.5
Aluminium,DZ_ff,0.08
Aluminium,ENDURALOX PP,0.4
Aluminium,"ff 0.02",0.02
Aluminium,Glue,1.5
Aluminium,PE Plastic,0.23
Aluminium,Polyethylene,0.24
Aluminium,POLYETHYLENE,0.24
Aluminium,S7000_DZ_ff,0.08
Aluminium,SELF EXTINGUISHING LOW MOISTURE,0.28
Aluminium,Steel,0.6
Aluminium,TransverseFriction,0
Aluminium,UHMW,0.23
AR NYLON,Aluminium,0.28
AR NYLON,Bread,0.25
AR NYLON,Corrugated,0.19
AR NYLON,DZ_ff,0.08
AR NYLON,"ff 0.1",0.01
AR NYLON,"ff 0.2",0.2
AR NYLON,"ff 0.3",0.3
AR NYLON,"ff 0.4",0.4
AR NYLON,"ff 0.5",0.5
AR NYLON,"ff 0.6",0.6
AR NYLON,Glue,1.5
AR NYLON,PE Plastic,0.16
AR NYLON,Plastic,0.1
AR NYLON,S7000_DZ_ff,0.08
AR NYLON,Steel,0.27
ARB_DZ_ff,Bread,0.12
ARB_DZ_ff,Corrugated,0.1
ARB_DZ_ff,"ff 0.05",0.08
ARB_DZ_ff,"ff 0.1",0.08
ARB_DZ_ff,"ff 0.2",0.08
ARB_DZ_ff,"ff 0.3",0.08
ARB_DZ_ff,"ff 0.4",0.08
ARB_DZ_ff,"ff 0.5",0.08
ARB_DZ_ff,"ff 0.6",0.08
ARB_DZ_ff,Frictionless,0
ARB_DZ_ff,Plastic,0.1
ARB_DZ_ff,Rubber,0.6
ARB_DZ_ff,"Rubber 0.1",0.3
ARB_DZ_ff,"Rubber 0.3",0.1
BeltRollerARB,Aluminium,0.28
BeltRollerARB,Black PU,0.8
BeltRollerARB,Bread,0.1
BeltRollerARB,Corrugated,0.08
BeltRollerARB,"ff 0.05",0.08
BeltRollerARB,"ff 0.1",0.08
BeltRollerARB,"ff 0.2",0.08
BeltRollerARB,"ff 0.3",0.08
BeltRollerARB,"ff 0.4",0.08
BeltRollerARB,"ff 0.5",0.08
BeltRollerARB,"ff 0.6",0.08
BeltRollerARB,Frictionless,0
BeltRollerARB,PE Plastic,0.08
BeltRollerARB,Plastic,0.2
BeltRollerARB,Rubber,0.08
BeltRollerARB,"Rubber 0.1",0.08
BeltRollerARB,"Rubber 0.3",0.08
BeltRollerARB,Steel,0.08
BeltRollerNarrow,Aluminium,0.28
BeltRollerNarrow,Bread,0.15
BeltRollerNarrow,Corrugated,0.13
BeltRollerNarrow,"ff 0.1",0.1
BeltRollerNarrow,Frictionless,0
BeltRollerNarrow,PE Plastic,0.1
BeltRollerNarrow,Plastic,0.1
BeltRollerNarrow,Rubber,0.13
BeltRollerNarrow,Steel,0.13
BeltRollerS7000,Aluminium,0.28
BeltRollerS7000,Bread,0.1
BeltRollerS7000,Corrugated,0.08
BeltRollerS7000,"ff 0.05",0.08
BeltRollerS7000,"ff 0.1",0.08
BeltRollerS7000,"ff 0.2",0.08
BeltRollerS7000,"ff 0.3",0.08
BeltRollerS7000,"ff 0.4",0.08
BeltRollerS7000,"ff 0.5",0.08
BeltRollerS7000,"ff 0.6",0.08
BeltRollerS7000,Frictionless,0
BeltRollerS7000,PE Plastic,0.08
BeltRollerS7000,Plastic,0
BeltRollerS7000,Rubber,0.08
BeltRollerS7000,Steel,0.08
Black PU,Aluminium,0.6
Black PU,BeltRollerNarrow,0.1
Black PU,BeltRollerS7000,0.6
Black PU,Black PU,1
Black PU,Bread,0.6
Black PU,Corrugated,0.6
Black PU,DZ_ff,0.08
Black PU,"ff 0.1",0.1
Black PU,"ff 0.4",0.4
Black PU,"ff 0.5",0.5
Black PU,"ff 0.6",0.6
Black PU,Glue,1.5
Black PU,PE Plastic,0.32
Black PU,Plastic,0.6
Black PU,Polypropylene,1
Black PU,Rollers,0.1
Black PU,Rubber,0.6
Black PU,"Rubber 0.1",0.1
Black PU,"Rubber 0.3",0.3
Black PU,S7000_DZ_ff,0.08
Bread,Bread,0.8
brev,brev,1
CardBoard,BlueBelt,0.15
CardBoard,"ff 0.1",0.1
CardBoard,"ff1.0",1
CardBoard,GrayBelt,0.4
CardBoard,pbTest,0.3
ccc,ddd,5
Chain,"0.35",0.35
Chain,Bread,1
Chain,brev,1.1
Chain,CardBoard,1
Chain,"ff 0.1",0.1
Chain,"ff 1,0",1
Chain,"ff1.0",1
Chain,Frictionless,0
Chain,GavityRoller,0.02
Chain,HighFriction,9999
Chain,P&G Wipe Pack,0.8
Chain,RollerBelt,0.1
Chain,Stickum,2
Chain,sticky,2
Chain,test,0.5
Chocolate,"ff 0.1",0.1
Chocolate,"ff1.0",1
Chocolate,Nestle Plastic,0.4
Concrete,BigFrictionPlate,2
Concrete,Black PU,0.8
Concrete,Bread,0.6
Concrete,brev,1.2
Concrete,CardBoard,0.6
Concrete,Chain,1
Concrete,Concrete,0.3
Concrete,"ff 0,08",0.075
Concrete,"ff 0,8",0.8
Concrete,"ff 0.08",0.075
Concrete,"ff 0.1",0.1
Concrete,"ff 0.2",0.2
Concrete,"ff 0.3",0.3
Concrete,"ff 0.4",0.4
Concrete,"ff 0.5",0.5
Concrete,"ff 0.6",0.6
Concrete,"ff 1,0",1
Concrete,"ff 1.0",1
Concrete,"ff1.0",1
Concrete,Free Roller,0.05
Concrete,Frictionless,0
Concrete,GavityRoller,0.02
Concrete,GravityRoller,0.02
Concrete,HighFriction,9999
Concrete,Luggage,0.1
Concrete,P&G Wipe Pack,0.7
Concrete,PE Plastic,0.6
Concrete,Polyethylene,0.15
Concrete,"Roller 0,075",0.075
Concrete,RollerBelt,0.1
Concrete,Rubber,1
Concrete,Rubber_2,10
Concrete,Steel,0.4
Concrete,Stickum,2
Concrete,sticky,2
Concrete,test,0.4
Concrete,VeryStickyCardboard,1
Concrete,Wood 1,1.2
Concrete,Wood 2,1.2
Concrete,woody,1
Corrugated,BigFrictionPlate,2
Corrugated,Bread,0.4
Corrugated,brev,1.3
Corrugated,CardBoard,0.3
Corrugated,Chain,1
Corrugated,Concrete,0.6
Corrugated,Corrugated,0.3
Corrugated,CustomMaterial1,0.08
Corrugated,F&N Can Conv Plastic,0.1
Corrugated,"ff 0,08",0.075
Corrugated,"ff 0,8",0.8
Corrugated,"ff 0.02",0.02
Corrugated,"ff 0.08",0.075
Corrugated,"ff 0.1",0.1
Corrugated,"ff 0.2",0.2
Corrugated,"ff 0.3",0.3
Corrugated,"ff 0.4",0.4
Corrugated,"ff 0.5",0.5
Corrugated,"ff 0.6",0.6
Corrugated,"ff 1,0",1
Corrugated,"ff 1.0",1
Corrugated,"ff1.0",1
Corrugated,Free Roller,0.05
Corrugated,Frictionless,0
Corrugated,GavityRoller,0.02
Corrugated,Gliederband,0.7
Corrugated,Glue,5
Corrugated,GravityRoller,0.02
Corrugated,Gum Rubber,0.8
Corrugated,HighFriction,9999
Corrugated,Kelloggs2,0
Corrugated,Merge Seitenwand,0.1
Corrugated,Passive,0.05
Corrugated,pbTest,0.3
Corrugated,Plastic,0.2
Corrugated,"Roller 0,075",0.075
Corrugated,RollerBelt,0.1
Corrugated,ROUGH TOP,50
Corrugated,Rubber,0.4
Corrugated,Rubber_2,10
Corrugated,S1400 FFT,0
Corrugated,S1400 FFT PP,0.5
Corrugated,S1400 FT Acetal,0.21
Corrugated,S400 RT Acetal,0.18
Corrugated,S800 RT Acetal,0.08
Corrugated,SELF EXTINGUISHING LOW MOISTURE,0.19
Corrugated,Steel,0.2
Corrugated,Stickum,2
Corrugated,sticky,2
Corrugated,StopMaterial,0.01
Corrugated,Test,1
Corrugated,Wood,0.3
Corrugated,Wood 1,0.25
Corrugated,Wood 2,0.15
DETECTABLE PE,Aluminium,0.4
DETECTABLE PE,Bread,0.28
DETECTABLE PE,Corrugated,0.21
DETECTABLE PE,DZ_ff,0.08
DETECTABLE PE,"ff 0.1",0.1
DETECTABLE PE,"ff 0.2",0.2
DETECTABLE PE,"ff 0.3",0.3
DETECTABLE PE,"ff 0.4",0.4
DETECTABLE PE,"ff 0.5",0.5
DETECTABLE PE,"ff 0.6",0.6
DETECTABLE PE,Glass,0.19
DETECTABLE PE,Glue,1.5
DETECTABLE PE,PE Plastic,0.17
DETECTABLE PE,Plastic,0.2
DETECTABLE PE,Rubber,0.6
DETECTABLE PE,S7000_DZ_ff,0.08
DZ_ff,Bread,0.1
DZ_ff,Corrugated,0.08
DZ_ff,DZ_ff,0.08
DZ_ff,"ff 0.02",0.02
DZ_ff,Glue,0.08
DZ_ff,PE Plastic,0.08
DZ_ff,Plastic,0.1
DZ_ff,Rubber,0.08
DZ_ff,SELF EXTINGUISHING LOW MOISTURE,0.08
Elastomer,BigFrictionPlate,2
Elastomer,Bread,0.6
Elastomer,Corrugated,0.6
Elastomer,DZ_ff,0.08
Elastomer,"ff 0,08",0.075
Elastomer,"ff 0,8",0.8
Elastomer,"ff 0.02",0.02
Elastomer,"ff 0.08",0.075
Elastomer,"ff 0.1",0.1
Elastomer,"ff 0.2",0.2
Elastomer,"ff 0.3",0.3
Elastomer,"ff 0.4",0.4
Elastomer,"ff 0.5",0.5
Elastomer,"ff 0.6",0.6
Elastomer,"ff 1,0",1
Elastomer,"ff 1.0",1
Elastomer,"ff1.0",1
Elastomer,Free Roller,0.05
Elastomer,Frictionless,0
Elastomer,Glue,1.5
Elastomer,GravityRoller,0.02
Elastomer,PE Plastic,0.32
Elastomer,Plastic,0.6
Elastomer,"Roller 0,075",0.075
Elastomer,RollerBelt,0.1
Elastomer,Rubber,0.6
Elastomer,S7000_DZ_ff,0.08
ELEC COND ACTL,Aluminium,0.27
ELEC COND ACTL,Bread,0.25
ELEC COND ACTL,Corrugated,0.18
ELEC COND ACTL,DZ_ff,0.08
ELEC COND ACTL,"ff 0.1",0.1
ELEC COND ACTL,"ff 0.2",0.2
ELEC COND ACTL,"ff 0.3",0.3
ELEC COND ACTL,"ff 0.4",0.4
ELEC COND ACTL,"ff 0.5",0.5
ELEC COND ACTL,"ff 0.6",0.6
ELEC COND ACTL,Glass,0.14
ELEC COND ACTL,Glue,1.5
ELEC COND ACTL,HIGH STRENGTH EC ACETAL,0.2
ELEC COND ACTL,PE Plastic,0.16
ELEC COND ACTL,Plastic,0.1
ELEC COND ACTL,Rubber,0.6
ELEC COND ACTL,S7000_DZ_ff,0.08
ELEC COND ACTL,Steel,0.14
ELEC COND PP COMPOSITE,Aluminium,0.45
ELEC COND PP COMPOSITE,Corrugated,0.21
ELEC COND PP COMPOSITE,DZ_ff,0.08
ELEC COND PP COMPOSITE,"ff 0.1",0.1
ELEC COND PP COMPOSITE,"ff 0.2",0.2
ELEC COND PP COMPOSITE,"ff 0.3",0.3
ELEC COND PP COMPOSITE,"ff 0.4",0.4
ELEC COND PP COMPOSITE,"ff 0.5",0.5
ELEC COND PP COMPOSITE,"ff 0.6",0.6
ELEC COND PP COMPOSITE,Glass,0.23
ELEC COND PP COMPOSITE,Glue,1.5
ELEC COND PP COMPOSITE,PE Plastic,0.21
ELEC COND PP COMPOSITE,Plastic,0.2
ELEC COND PP COMPOSITE,Rubber,0.6
ELEC COND PP COMPOSITE,S7000_DZ_ff,0.08
ELEC COND PP COMPOSITE,Steel,0.32
ENDURALOX PP,Corrugated,0.21
ENDURALOX PP,"ff 0.1",0.1
ENDURALOX PP,Frictionless,0
ENDURALOX PP,Plastic,0.2
ENDURALOX PP,Rubber,0.6
F&N,"ff 0.1",0.1
F&N,"ff1.0",1
F&N Can Conv Plastic,"ff 0.1",0.1
F&N Can Conv Plastic,"ff1.0",1
F&N Plastic Incline,"ff 0.1",0.1
F&N Plastic Incline,"ff1.0",1
F&N Plastic Incline,Frictionless,0
"ff 0.01",Corrugated,0.01
"ff 0.01",Glass,0.01
"ff 0.02",Air,0.02
"ff 0.02",AR NYLON,0.02
"ff 0.02",ARB_DZ_ff,0.02
"ff 0.02",BeltRollerARB,0.02
"ff 0.02",BeltRollerNarrow,0.02
"ff 0.02",BeltRollerS7000,0.02
"ff 0.02",Black PU,0.02
"ff 0.02",Bread,0.02
"ff 0.02",CardBoard,0.02
"ff 0.02",Chain,0.02
"ff 0.02",Chocolate,0.02
"ff 0.02",Concrete,1
"ff 0.02",DETECTABLE PE,0.02
"ff 0.02",ELEC COND ACTL,0.02
"ff 0.02",ELEC COND PP COMPOSITE,0.02
"ff 0.02",ENDURALOX PP,0.02
"ff 0.02",F&N,0.02
"ff 0.02",F&N Can Conv Plastic,0.02
"ff 0.02",F&N Plastic Incline,0.02
"ff 0.02","ff 0.02",0.02
"ff 0.02","ff 0.05",0.02
"ff 0.02","FLAME RET. TPES",0.02
"ff 0.02",Free Roller,0.01
"ff 0.02",Frictionless,0
"ff 0.02",GavityRoller,0.02
"ff 0.02",Gliederband,0.02
"ff 0.02",Glue,0.02
"ff 0.02",Grey PU,0.02
"ff 0.02",High Friction Rubber,0.02
"ff 0.02",HIGH STRENGTH EC ACETAL,0.02
"ff 0.02",Luggage,0.02
"ff 0.02",Merge Roller,0.02
"ff 0.02",Merge Seitenwand,0.02
"ff 0.02",Narrow Roller,0.02
"ff 0.02",Nestle Plastic,0.02
"ff 0.02",NYLON,0.02
"ff 0.02",NYLON (FDA),0.02
"ff 0.02",NYLON (NON-FDA),0.02
"ff 0.02",Passive,0.02
"ff 0.02",Plastic,0.02
"ff 0.02",Polyethylene,0.02
"ff 0.02",POLYETHYLENE,0.02
"ff 0.02",Rolle Rutsche,0.02
"ff 0.02",Rollers,0.01
"ff 0.02",Rubber,1
"ff 0.02",S7000_DZ_ff,0.02
"ff 0.02",Schwerkraftrolle,0.02
"ff 0.02",Soft Bag,0.02
"ff 0.02",Steel,0.3
"ff 0.02",TP package,0.02
"ff 0.02",UHMW,0.02
"ff 0.02",UV RESISTANT PP,0.02
"ff 0.02",VeryStickyCardboard,0.02
"ff 0.02",Wood,0.02
"ff 0.02",Wood 1,0.02
"ff 0.02",Wood 2,0.02
"ff 0.02",Zobbiness,0.02
"ff 0.05",Acetal,0.05
"ff 0.05",Air,0.05
"ff 0.05",Aluminium,0.05
"ff 0.05",AR NYLON,0.05
"ff 0.05",BeltRollerNarrow,0.05
"ff 0.05",Black PU,0.05
"ff 0.05",Bread,0.05
"ff 0.05",CardBoard,0.05
"ff 0.05",Chain,0.05
"ff 0.05",Chocolate,0.05
"ff 0.05",Concrete,0.05
"ff 0.05",Corrugated,0.05
"ff 0.05",DETECTABLE PE,0.05
"ff 0.05",DZ_ff,0.08
"ff 0.05",Elastomer,0.05
"ff 0.05",ELEC COND ACTL,0.05
"ff 0.05",ELEC COND PP COMPOSITE,0.05
"ff 0.05",ENDURALOX PP,0.05
"ff 0.05",F&N,0.05
"ff 0.05",F&N Can Conv Plastic,0.05
"ff 0.05",F&N Plastic Incline,0.05
"ff 0.05","ff 0.05",0.05
"ff 0.05","ff 0.1",0.1
"ff 0.05","ff 0.3",0.3
"ff 0.05","ff 0.4",0.05
"ff 0.05","FLAME RET. TPES",0.05
"ff 0.05",Free Roller,0
"ff 0.05",Frictionless,0
"ff 0.05",GavityRoller,0.05
"ff 0.05",Gliederband,0.05
"ff 0.05",Glue,0.05
"ff 0.05",High Friction Rubber,0.05
"ff 0.05",Luggage,0.05
"ff 0.05",Merge Roller,0.05
"ff 0.05",Merge Seitenwand,0.05
"ff 0.05",Narrow Roller,0.05
"ff 0.05",Nestle Plastic,0.05
"ff 0.05",Passive,0.05
"ff 0.05",Plastic,0.05
"ff 0.05",Polyethylene,0.05
"ff 0.05",POLYETHYLENE,0.05
"ff 0.05",Rolle Rutsche,0.05
"ff 0.05",RollerBelt,0.05
"ff 0.05",Schwerkraftrolle,0.05
"ff 0.05",SELF EXTINGUISHING LOW MOISTURE,0.05
"ff 0.05",Soft Bag,0.05
"ff 0.05",TP package,0.05
"ff 0.05",VeryStickyCardboard,0.05
"ff 0.05",Wood,0.05
"ff 0.05",Wood 1,0.05
"ff 0.05",Wood 2,0.05
"ff 0.05",Zobbiness,0.05
"ff 0.1",Aluminium,0.1
"ff 0.1",Bread,0.1
"ff 0.1",DZ_ff,0.08
"ff 0.1","ff 0.02",0.02
"ff 0.1","ff 0.1",0.1
"ff 0.1","ff1.0",1
"ff 0.1",Free Roller,0
"ff 0.1",High Friction Rubber,0.1
"ff 0.1",PE Plastic,0.1
"ff 0.1",Polypropylene,0.1
"ff 0.1",POLYPROPYLENE,0.1
"ff 0.1",S7000_DZ_ff,0.08
"ff 0.1",SELF EXTINGUISHING LOW MOISTURE,0.1
"ff 0.1",Wood 1,0.1
"ff 0.1",Wood 2,0.1
"ff 0.2",Acetal,0.2
"ff 0.2",Air,0.2
"ff 0.2",Aluminium,0.2
"ff 0.2",BeltRollerNarrow,0.2
"ff 0.2",Black PU,0.2
"ff 0.2",Bread,0.2
"ff 0.2",CardBoard,0.2
"ff 0.2",Chain,0.2
"ff 0.2",Chocolate,0.2
"ff 0.2",DZ_ff,0.08
"ff 0.2",ENDURALOX PP,0.2
"ff 0.2",F&N,0.02
"ff 0.2",F&N Can Conv Plastic,0.02
"ff 0.2",F&N Plastic Incline,0.02
"ff 0.2","ff 0.02",0.02
"ff 0.2","ff 0.05",0.05
"ff 0.2","ff 0.1",0.2
"ff 0.2","ff 0.2",0.2
"ff 0.2","ff 0.3",0.3
"ff 0.2","ff 0.4",0.4
"ff 0.2","ff 0.5",0.5
"ff 0.2","ff 0.6",0.6
"ff 0.2","ff 1,0",1
"ff 0.2","ff 1.0",1
"ff 0.2","ff1.0",1
"ff 0.2",Free Roller,0
"ff 0.2",GavityRoller,0.2
"ff 0.2",Gliederband,0.2
"ff 0.2",Glue,0.2
"ff 0.2",High Friction Rubber,0.2
"ff 0.2",Merge Roller,0.2
"ff 0.2",Merge Seitenwand,0.2
"ff 0.2",Narrow Roller,0.2
"ff 0.2",Nestle Plastic,0.2
"ff 0.2",Passive,0.2
"ff 0.2",PE Plastic,0.2
"ff 0.2",Polyethylene,0.2
"ff 0.2",POLYETHYLENE,0.2
"ff 0.2",Polypropylene,0.2
"ff 0.2",POLYPROPYLENE,0.2
"ff 0.2",Rolle Rutsche,0.2
"ff 0.2",RollerBelt,0.2
"ff 0.2",Rollers,0.05
"ff 0.2",S7000_DZ_ff,0.08
"ff 0.2",Schwerkraftrolle,0.2
"ff 0.2",SELF EXTINGUISHING LOW MOISTURE,0.2
"ff 0.2",TP package,0.2
"ff 0.2",VeryStickyCardboard,0.2
"ff 0.2",Wood 1,0.2
"ff 0.2",Wood 2,0.2
"ff 0.2",Zobbiness,0.2
"ff 0.3",Air,0.3
"ff 0.3",Aluminium,0.3
"ff 0.3",BeltRollerNarrow,0.3
"ff 0.3",Black PU,0.3
"ff 0.3",Bread,0.3
"ff 0.3",CardBoard,0.3
"ff 0.3",Chain,0.3
"ff 0.3",Chocolate,0.3
"ff 0.3",DZ_ff,0.08
"ff 0.3",ENDURALOX PP,0.3
"ff 0.3",F&N,0.3
"ff 0.3",F&N Can Conv Plastic,0.3
"ff 0.3",F&N Plastic Incline,0.3
"ff 0.3","ff 0.02",0.02
"ff 0.3","ff 0.1",0.3
"ff 0.3","ff 0.3",0.3
"ff 0.3","ff 1.0",1
"ff 0.3","ff1.0",1
"ff 0.3",Free Roller,0
"ff 0.3",GavityRoller,0.3
"ff 0.3",Gliederband,0.3
"ff 0.3",Glue,0.3
"ff 0.3",High Friction Rubber,0.3
"ff 0.3",Merge Roller,0.3
"ff 0.3",Merge Seitenwand,0.3
"ff 0.3",Narrow Roller,0.3
"ff 0.3",Nestle Plastic,0.3
"ff 0.3",Passive,0.3
"ff 0.3",PE Plastic,0.3
"ff 0.3",Polyethylene,0.3
"ff 0.3",POLYETHYLENE,0.3
"ff 0.3",Polypropylene,0.3
"ff 0.3",POLYPROPYLENE,0.3
"ff 0.3",Rolle Rutsche,0.3
"ff 0.3",RollerBelt,0.3
"ff 0.3",Rollers,0.05
"ff 0.3",S7000_DZ_ff,0.08
"ff 0.3",Schwerkraftrolle,0.3
"ff 0.3",SELF EXTINGUISHING LOW MOISTURE,0.3
"ff 0.3",TP package,0.3
"ff 0.3",VeryStickyCardboard,0.3
"ff 0.3",Wood 1,0.3
"ff 0.3",Wood 2,0.3
"ff 0.3",Zobbiness,0.3
"ff 0.4",Aluminium,0.4
"ff 0.4",Bread,0.4
"ff 0.4",DZ_ff,0.08
"ff 0.4","ff 0.02",0.02
"ff 0.4","ff 0.1",0.4
"ff 0.4","ff 0.3",0.4
"ff 0.4","ff 0.4",0.4
"ff 0.4","ff 0.5",0.5
"ff 0.4","ff 0.6",0.6
"ff 0.4","ff 1.0",1
"ff 0.4","ff1.0",1
"ff 0.4",Free Roller,0
"ff 0.4",High Friction Rubber,0.4
"ff 0.4",PE Plastic,0.4
"ff 0.4",Polypropylene,0.4
"ff 0.4",POLYPROPYLENE,0.4
"ff 0.4",S7000_DZ_ff,0.08
"ff 0.4",SELF EXTINGUISHING LOW MOISTURE,0.4
"ff 0.5",Air,0.5
"ff 0.5",Aluminium,0.5
"ff 0.5",BeltRollerNarrow,0.5
"ff 0.5",Bread,0.5
"ff 0.5",CardBoard,0.5
"ff 0.5",Chain,0.5
"ff 0.5",Chocolate,0.5
"ff 0.5",DZ_ff,0.08
"ff 0.5",ENDURALOX PP,0.5
"ff 0.5",F&N,0.5
"ff 0.5",F&N Can Conv Plastic,0.5
"ff 0.5",F&N Plastic Incline,0.5
"ff 0.5","ff 0.02",0.02
"ff 0.5","ff 0.05",0.5
"ff 0.5","ff 0.1",0.5
"ff 0.5","ff 0.3",0.5
"ff 0.5","ff 0.5",0.5
"ff 0.5","ff 1.0",1
"ff 0.5","ff1.0",1
"ff 0.5",Free Roller,0
"ff 0.5",GavityRoller,0.5
"ff 0.5",Gliederband,0.5
"ff 0.5",Glue,0.5
"ff 0.5",High Friction Rubber,0.5
"ff 0.5",Merge Roller,0.5
"ff 0.5",Merge Seitenwand,0.5
"ff 0.5",Narrow Roller,0.5
"ff 0.5",Nestle Plastic,0.5
"ff 0.5",Passive,0.5
"ff 0.5",PE Plastic,0.5
"ff 0.5",Polyethylene,0.5
"ff 0.5",POLYETHYLENE,0.5
"ff 0.5",Polypropylene,0.5
"ff 0.5",POLYPROPYLENE,0.5
"ff 0.5",RollerBelt,0.5
"ff 0.5",S7000_DZ_ff,0.08
"ff 0.5",SELF EXTINGUISHING LOW MOISTURE,0.5
"ff 0.5",TP package,0.5
"ff 0.5",VeryStickyCardboard,0.5
"ff 0.5",Zobbiness,0.5
"ff 0.6",Aluminium,0.6
"ff 0.6",Bread,0.6
"ff 0.6",CardBoard,0.6
"ff 0.6",Chain,0.6
"ff 0.6",Chocolate,0.6
"ff 0.6",DZ_ff,0.08
"ff 0.6",ENDURALOX PP,0.6
"ff 0.6",F&N,0.6
"ff 0.6",F&N Can Conv Plastic,0.6
"ff 0.6",F&N Plastic Incline,0.6
"ff 0.6","ff 0.02",0.02
"ff 0.6","ff 0.05",0.6
"ff 0.6","ff 0.1",0.6
"ff 0.6","ff 0.3",0.6
"ff 0.6","ff 0.5",0.6
"ff 0.6","ff 0.6",0.5
"ff 0.6","ff 1.0",1
"ff 0.6","ff1.0",1
"ff 0.6",Free Roller,0
"ff 0.6",GavityRoller,0.6
"ff 0.6",Gliederband,0.6
"ff 0.6",Glue,0.6
"ff 0.6",High Friction Rubber,0.6
"ff 0.6",Merge Roller,0.6
"ff 0.6",Merge Seitenwand,0.6
